,Country,EdLevel,YearsCodePro,Age,Gender,Salary
2,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,25-34 years old,Man,40205.0
8,Netherlands,Master’s degree,6.0,25-34 years old,Woman,49056.0
10,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,18-24 years old,Man,60307.0
11,United States of America,Bachelor’s degree,10.0,35-44 years old,Man,194400.0
12,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,65000.0
14,United States of America,Master’s degree,5.0,25-34 years old,Man,110000.0
16,Czech Republic,Bachelor’s degree,4.0,25-34 years old,Man,19224.0
18,Austria,Less than a Bachelors,22.0,45-54 years old,Man,51192.0
21,Italy,Master’s degree,4.0,25-34 years old,Man,34126.0
22,Canada,Less than a Bachelors,20.0,35-44 years old,Man,97605.0
25,Germany,Master’s degree,9.0,25-34 years old,Man,90647.0
26,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,106960.0
28,United States of America,Master’s degree,14.0,35-44 years old,Man,130000.0
31,United States of America,Bachelor’s degree,21.0,55-64 years old,Man,102000.0
34,Poland,Master’s degree,5.0,25-34 years old,Man,83256.0
40,United States of America,Less than a Bachelors,15.0,35-44 years old,Man,130000.0
41,Israel,Less than a Bachelors,3.0,18-24 years old,Man,68160.0
47,United States of America,Bachelor’s degree,5.0,25-34 years old,Woman,135000.0
48,Germany,Less than a Bachelors,25.0,55-64 years old,Man,106644.0
49,Germany,Less than a Bachelors,4.0,25-34 years old,Man,51192.0
51,Poland,Bachelor’s degree,3.0,25-34 years old,Man,38856.0
53,United States of America,Bachelor’s degree,10.0,25-34 years old,Man,170000.0
54,Norway,Bachelor’s degree,7.0,25-34 years old,Man,103705.0
55,United States of America,Master’s degree,5.0,25-34 years old,Woman,141000.0
56,Other,Bachelor’s degree,3.0,25-34 years old,Man,55163.0
57,Netherlands,Bachelor’s degree,8.0,25-34 years old,Man,46704.0
59,Germany,Bachelor’s degree,2.0,25-34 years old,Woman,63986.0
60,Canada,Bachelor’s degree,4.0,25-34 years old,Man,66372.0
62,France,Post grad,14.0,35-44 years old,Man,74651.0
63,United States of America,Bachelor’s degree,12.0,35-44 years old,Man,150000.0
66,Brazil,Master’s degree,20.0,45-54 years old,Man,24924.0
69,Other,Less than a Bachelors,15.0,35-44 years old,Man,38808.0
73,Germany,Bachelor’s degree,2.0,18-24 years old,Man,63986.0
74,Sweden,Bachelor’s degree,6.0,35-44 years old,Man,50220.0
76,United States of America,Master’s degree,20.0,35-44 years old,Man,160000.0
79,France,Master’s degree,10.0,25-34 years old,Man,87448.0
83,Other,Less than a Bachelors,20.0,35-44 years old,Man,150000.0
84,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,25-34 years old,Man,69102.0
85,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,95000.0
87,Spain,Bachelor’s degree,8.0,25-34 years old,Man,95979.0
88,Germany,Master’s degree,6.0,35-44 years old,Man,71451.0
89,Sweden,Bachelor’s degree,5.0,25-34 years old,Man,57288.0
90,France,Master’s degree,5.0,25-34 years old,Man,63986.0
91,France,Master’s degree,19.0,35-44 years old,Man,63986.0
93,United States of America,Master’s degree,5.0,25-34 years old,Woman,166000.0
94,United Kingdom of Great Britain and Northern Ireland,Post grad,3.0,25-34 years old,Man,52769.0
95,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,92000.0
96,Israel,Bachelor’s degree,6.0,35-44 years old,Man,143484.0
99,Turkey,Less than a Bachelors,7.0,25-34 years old,Man,12024.0
101,Germany,Master’s degree,1.0,25-34 years old,Man,79983.0
103,United States of America,Master’s degree,17.0,35-44 years old,Woman,200000.0
105,Italy,Bachelor’s degree,5.0,25-34 years old,Man,93420.0
107,United States of America,Less than a Bachelors,5.0,25-34 years old,Man,35000.0
108,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,25-34 years old,Man,75384.0
109,Spain,Less than a Bachelors,8.0,25-34 years old,Man,44790.0
111,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,25-34 years old,Man,78525.0
112,Poland,Master’s degree,20.0,35-44 years old,Man,76313.0
113,United States of America,Master’s degree,25.0,45-54 years old,Man,130000.0
114,Other,Less than a Bachelors,12.0,35-44 years old,Man,26868.0
115,United States of America,Bachelor’s degree,3.0,18-24 years old,Man,110000.0
120,Canada,Bachelor’s degree,4.0,25-34 years old,Man,66372.0
121,Sweden,Master’s degree,4.0,25-34 years old,Woman,81672.0
122,Romania,Bachelor’s degree,3.0,18-24 years old,Man,45300.0
123,Italy,Less than a Bachelors,12.0,25-34 years old,Man,21120.0
126,Canada,Bachelor’s degree,5.0,25-34 years old,Man,78084.0
132,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,98000.0
133,United States of America,Bachelor’s degree,24.0,45-54 years old,Man,144000.0
135,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,35-44 years old,Man,123127.0
138,Israel,Bachelor’s degree,10.0,25-34 years old,Woman,197292.0
143,Other,Less than a Bachelors,15.0,35-44 years old,Man,103500.0
144,Canada,Bachelor’s degree,1.0,18-24 years old,Man,35138.0
145,United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,35-44 years old,Man,80409.0
151,India,Bachelor’s degree,12.0,25-34 years old,Man,15480.0
153,United States of America,Master’s degree,11.0,25-34 years old,Man,200000.0
155,United States of America,Bachelor’s degree,1.0,18-24 years old,Man,132000.0
156,Belgium,Bachelor’s degree,9.0,25-34 years old,Man,63984.0
158,Germany,Post grad,7.0,25-34 years old,Man,92136.0
159,Other,Master’s degree,9.0,25-34 years old,Man,32712.0
160,Netherlands,Bachelor’s degree,3.0,25-34 years old,Woman,38388.0
161,Germany,Bachelor’s degree,23.0,45-54 years old,Man,165298.0
163,Other,Bachelor’s degree,7.0,35-44 years old,Man,106644.0
164,United States of America,Bachelor’s degree,15.0,35-44 years old,Man,136000.0
167,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,25-34 years old,Man,54025.0
171,United States of America,Bachelor’s degree,0.5,18-24 years old,Woman,130000.0
172,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,35-44 years old,Man,136947.0
178,Poland,Less than a Bachelors,6.0,25-34 years old,Man,41625.0
182,United States of America,Master’s degree,15.0,45-54 years old,Man,200000.0
